GT Label,Predicted Text
"Baukoerperoberflaechen muessen fuer die Verklebung der Folien und fuer Versiegelungen geeignet sein (eben, fest, fettfrei). Die Wahl der Materialien ist ggf. mit den angrenzenden Gewerken abzustimmen.",| der Folien und fuer Versiegelungen 8 Jaubi sein 1 | 8 mit den angrenzenden Gerverken abzustimmen.
Bedienhebel,[
Anker Fischer FAZ 10/20 A4,Anker 1
Dampfbremse: Folie mit geringer Dampfdurchlaessigkeit z.B. Schueco VapoFlex HR050,1 geringer Dampfdurchlaessigkeit 1
Unterfuetterung (Toleranzausgleich),[ [
IK Leibungsblech Decke,1
VK Decke / Bruestung,VK Decke Bruestung
LUFTER Leistung angrenzendes Gewerk dargestellt: Sigenia Aubi AEROMAT VT Typ DS Wetterschutz 911 CW mit Lueftungsschlitzen und vorgesetzten Wetterschenkeln,LUEFTER Leistung angrenzendes Gewverk 1 Sigenia Aubi AEROMAT VT Typ DS Wetterschutz 911CW mit Lueftungsschlitzen und 1 Wetterschenkeln
"L-Stahl nach Statik, z.B. DIN 1029 L150x90x10 durchgehend",1 1 1
184020,184020 184020
184080,184080
dampfoffene Dichtungsfolie z.B. Schueco VapoFlex LR 5,1 1
358790,358790
358260,358260
358610,358610
beluefteter Zwischenraum,beluefteter 1
"Luftzufuhr ueber Fusspunkt Blech-VHF seitens der Bauleitung ist zu pruefen, ob der gegebene Querschnitt ausreicht.","Luftzufuhr ueber Fusspunkt Blech-VHF, | der gegebene Querschnitt ausreicht."
Bei Ausfuehrung ohne Luefter zugehoeriges Leitdetail: 5 AR DT FAS 47 AF (siehe Plan D102),Bei Ausfuehrung ohne Luefter zugehoeriges Leitdetail: 5 AR DT FAS 47 AF 1
