GT Label,Predicted Text
358610,358610
358380,558581 3542222
Falzgrund Pfostenprofil,1 1
204533,204533
T-Verbinder nach Tabelle / Gewicht,1 Tatele 1
322440,UFZUE
325520,325520
112720,3542222
244101,@F
358670,358520
"Pfostenklinkung auf Fensterseite nur bis CKF oder badecken, bauseitige Dachbahnen koennen hier nur bis CKF gefuehrt werden",1 1 1 bauseitige 1 1
"Hinweis fuer Bauleitung: Fremdleistung (hier Dachdeckerarbeiten) bitte abstimmen; z.B. Folienverlauf, Nichteinhaltung der Dachdeckerrichtlinien (Folie 5cm ueber OK Belag)","1 Fremdleistungan {hier Dachdeckerarbaiten) | Folienverlauf , Nichteinhaltung der Dachdeckerrichtlinien (Folic Scm ueher {JK Bclag)"
gestrichelt: Lage Basisregel Festverglasung,gestrichelt; { 8
"Behindertengerechte Schwellenausbildung Hinweis: Bei der Erstellung des Fußbodenaufbaus ist darauf zu achten, dass dieser im Bereich des Fluegels sorgfaeltig (Toleranzen) ausgefuehrt wird, da sonst der Fluegel beim oeffnen ueber den Belag kratzen und diesen Beschaedigen kann (3mm Luft)",Behindertengerechte Schwellenausbildung Hinweis; Bei der Erstellung des Fulbodenaufbaus | Bereich des Fluegels sorgraeltig (Toleranzen) | | Beschadigen kann [
358870,352570
zugehoeriges Leitdetail 5 AR DT FAS 11 A F,| 1
361480,361480
Z01011 Qudratrohr Square hallow section DIN EN 10305-5 20x30x2,201011Quodrotrchr 1 9 F
246246,245245
373840,9
Bodenrinne bauseits,Bodenrinnc bauscits
Belastung Schwelle unbekannt Annahme: nur Personenlast max. 100kg,Belaslung Schoelle unbekarnl 1 max 10Ûkg
Dampfbremse: Folie mit geringer Dampfdurchlaessigkeit z.B. Schueco VapoFlex HR050,Daupfbranse: Fole mit 9 Domp fdurchlaessikeit 1
"Daemmung, wasserfest",1
"Stuetzwinkel, o.g.w. fuer Dachabdichtung",1 1
Befestigungswinkel fuer Basisrohr aus verz. Stahl durchlfd.,"Bdsstigungswinke fr Bzisrchr 8 Stahl , durchlfd"
Dachabdichtung bauseits,Bochobdichtung bauseits
gestrichelt: Lage Bodenblech unter Festverglasung,1 1 |
"Deckenversprung: Differenz zwischen Schalplan 5TWTSG001gF.dwg Schnitt E-E und Schalplan 5TWTSG0102bF.dwg Schnitt F-F. Annahme: Schaplan 5TWTSG0102bF.dwg Schnitt F-F korrekt, da dieser mit dem Grundriss Decke ueber EG i, Schalplan 5TWTSG001gF.dwg uebereinstimmt.","Deckenversprung: | Schnitt | Schnitt F-F Annahme | F-Fkorrekt, da dieser mit dem Grundriss Decke ueber | uebercinstimmt."
