GT Label,Predicted Text
Glas B-2: 364 Kg,Glas 8 2: 364 Kg
Glas 8mm: 136 Kg,Gias 6mm: 36 Kg
"Glas 8/14/6/14 8-2 . UWert: 0.6 W/m2K 3232*2728, 683 Kg.",Glas 0/14/6/14/8-2 1 3232*2728 6x €89
Glas 8mm: 182 Kg,1
Wasserschlitz im Pfoil und Glasleiste,Wasserschlitz Prcfil und Glasleiste
Glasunterlage 4mm,4mm Glaserunte-age
CF St 3mm 60*300,Cr St 3nm 60*300
Pour le tapis: 5mm,1 1
"Alu 15*39,8-450",Alu 15*39 8
Canal Tehalit BK Brodway,Canal Tehalit 1
wi1011203,1
"Feuille etanche grise 330mm, coliee sur profil aluminim",330mm Feuille etanche gnse 1 uad uminium
Gaujon M12*100 Inox,Goujon M12*100 Inox
MS polymere hybride blanc,MS polymère hybride blanc |
Equerre alu 30*30*2,Equerre 30*30*2
Canal Tehalit BK Broadway,Canal Tehalit BK Brodway
Plat ALu 30*3,Plat Alu 30*3
Tole alu 3mm lineare,Ineaie 1
Tole acier sendzimir 4mm,Iêle acer sendzimir 4mm
Isover 30 PB F Isover 60 PB F Extra,Isover 1 1
