GT Label,Predicted Text
Zarge Kantteil aus ALuminium 2mm,Zarge Kantteil 4 aus Aluminium 2mm.
RENSON-Lamelle Typ 481 (vor Nachtbelüftung) mit Insektenschutz,RENSON—Lameife Typ 481 (vor mit_Insektensdhutz Nachtbelijftung
VSG mit Mattfolie im Bereich Fluegel Nachtauskuehlung,VSG mit Mattfolie im Bereich 1 kuehl
Konstruktion / Ausführung des bauseitigen Sonnenschutz siehe Fachplanung ausfuehrender Firma. Abstimmungsbedarf.,"Konstruktion / rung des siehe bauseitigen Fachpla, Son: ‚chutz ausfuehrende Fi Abstimmungsbedarf."
184080,184080
Fluegel für TipTronic Beschlag,uegel = fuer ronic Bes¢hl
erforderlicher Platzbedarf umlaufend (Gehrungschnitt) neben Fluegelueberschlag mind. 6mm ggf. Winkel kuerzen (Aufmaßteil),erforderlicher Platzbedaı neben umlaufend (Gehrungschnitt) mind. dmm Fluegelueberschlag kuerz Aufrhassteil) gf. Winkel
Befestigung des bauseitigen Halters bedarf der Abstimmung mit FA. Schumacher's (Abdichtung etc.),Befestigung Hes bauseitigen Iters bedarf der Alstimmung mit Abdichtun Fa. Schlumacher's °
319520,319520
Winkelprofil Aluminium 25x25x2 geklebt,Winkelprofil Aluminium 25x25x2 Jebt
Fensterbank aus Alu als Kantteil mit Fensterbankhalter und Anti-Dröhn-Beschichtung,ous Alu als mit Kantteil FehsterbankHalter und Anti-Droehn-Beschichtun
"Kompriband bauseits (Gewerk, Gußboden, Material-Kompabilität)","(Gewerk Kompriband Fussboden, bauseits ste Material-Kom THE atibjiitaet)"
238928 Fensterbankabschluss für Klinker oder Sichtbeton für 280mm Fensterbank ggf. anpassen,Fensterbankabschluss fuer ri Klinker oder Sichtbeton fuer 280mm Fensterbank ggf. alpassen
320090,=
verdeckte Entwaesserung,verdeckte Entwaesserung!
189970,5 & =
Lage vertikales Kompriband mind. bis OK Stahlprofil herunterführen und mit KS-Profil verbinden,Lage vertikales Kompriband mind. herunterfuehren bis OK und Stahlprofil mit KS-Profil verbinden ==
Dampfsperre Folie 1/250 mm seitlich an Leibung kleben,Folie Dampfsperre 1/250 mm seitlich an Leibung kleben
Konsole aus St-Flach stueckweise,Konsole aus St-Flach i
Schueco-Fensterbankhalter 238964 mit 238965 (140-240mm FB) 238966 (260-360mm FB),hiico—Fensten halter 238964 238965 mit (150-2 FB
Uebergabepunkt bauseitig gestelltes E-Kabel Sonnenschutz + E-Kabel Fluegelantrieb,"=, UEbergabepunkt E—Kabel bauseitig + gestelletes E-Kobel Fliigelantrieb Sonnenschute"
Kante Rohbau,Kante Rohbau
