GT Label,Predicted Text
358610,35860
358380,358300 x
Falzgrund Pfostenprofil,Fdagrund Pfostenprofi
T-Verbinder nach Tabelle / Gewicht,"Tabelle T-Verbinder / Gewicht, nach"
325520,zum
244101,Zu
358670,353670
"Hinweis fuer Bauleitung: Fremdleistung (hier Dachdeckerarbeiten) bitte abstimmen; z.B. Folienverlauf, Nichteinhaltung der Dachdeckerrichtlinien (Folie 5cm ueber OK Belag)","Hinweis fuer Bauleitung: bitte Fremdleistungen abstimmen; z.B. {hier Folienverlauf, Dachdeckerarbeiten) (Folie Nichteinhaltung Sem ueber der OK Belag} Dachdeekerrichtinien"
"Pfostenklinkung auf Fensterseite nur bis CKF oder badecken, bauseitige Dachbahnen koennen hier nur bis CKF gefuehrt werden","Fensterseite Pfostenkinkung nur auf bis OKF oder Dochahnen abdecken, koennen bausetige hier nur bis OKF gefuehrt werden"
gestrichelt: Lage Basisregel Festverglasung,Loge gestrichelt: Bosisriegel _Festvergasung
"Behindertengerechte Schwellenausbildung Hinweis: Bei der Erstellung des Fußbodenaufbaus ist darauf zu achten, dass dieser im Bereich des Fluegels sorgfaeltig (Toleranzen) ausgefuehrt wird, da sonst der Fluegel beim oeffnen ueber den Belag kratzen und diesen Beschaedigen kann (3mm Luft)","Hinweis: Behindertengerechte Schwellenausbildung ist Bei der darauf zu Erstellung achten, des dass dieser FuRbodenauftaus im |Bereich |ausgefuehr des wird, Fluegels da sonst sorgfaeltig der Fluegel (Toleranzen) beim oefmen Beschaedigen ueber den kann Belag (aemm kratzen Luft) und diesen"
358870,358670
zugehoeriges Leitdetail 5 AR DT FAS 11 A F,SARDTFASTIAF Leiteletail
361480,au
246246,22
Z01011 Qudratrohr Square hallow section DIN EN 10305-5 20x30x2,201011 Square hollow Quodratrehr section
Bodenrinne bauseits,Badanchng bausetis
Dampfbremse: Folie mit geringer Dampfdurchlaessigkeit z.B. Schueco VapoFlex HR050,"0 a gejinger poten: jee Dampfdurchlaessigkel u 2, Schitco Vapofler HROSO"
Belastung Schwelle unbekannt Annahme: nur Personenlast max. 100kg,Belastung nur Schwelle unbekannt. max. ‚Annahme: 100 ” Personanlast.
"Daemmung, wasserfest","Dirmmung, wasserfest"
"Stuetzwinkel, o.g.w. fuer Dachabdichtung",Dochabdichtung ogy. fir
Befestigungswinkel fuer Basisrohr aus verz. Stahl durchlfd.,"aus verz, Bofestigungswinkel Stahl, fuer durehid, Basisrohr"
Dachabdichtung bauseits,bauseit Dochebdichtung
gestrichelt: Lage Bodenblech unter Festverglasung,Loge en Bodenblett er Festverg
"Deckenversprung: Differenz zwischen Schalplan 5TWTSG001gF.dwg Schnitt E-E und Schalplan 5TWTSG0102bF.dwg Schnitt F-F. Annahme: Schaplan 5TWTSG0102bF.dwg Schnitt F-F korrekt, da dieser mit dem Grundriss Decke ueber EG i, Schalplan 5TWTSG001gF.dwg uebereinstimmt.",Differanz Deckenversprung: zwisch Schnitt E-E ung Schalplan STWTSGO102bE deg uebereinstimmt. Schalplan STWTSGO001
