GT Label,Predicted Text
"Baukoerperoberflaechen muessen fuer die Verklebung der Folien und fuer Versiegelungen geeignet sein (eben, fest, fettfrei). Die Wahl der Materialien ist ggf. mit den angrenzenden Gewerken abzustimmen.","Baukémersberflachen mUssen fir die der Folieh und fiir Versiegelungen fest, fettfrei). Die Wahl der Materialien ist ngrenzenden Gewerken abzustimmen."
Bedienhebel,Bedienhebel
Anker Fischer FAZ 10/20 A4,Fisetfer FAZ 10/20 A4
Dampfbremse: Folie mit geringer Dampfdurchlaessigkeit z.B. Schueco VapoFlex HR050,Dampfbremse; Folie mit geringer Dampfdurchlissigkeit 2B. Sehtico VapoFlex HRO)
Unterfuetterung (Toleranzausgleich),Unterfiitterung (Toleranzausgleich’
IK Leibungsblech Decke,IK Leibungsblech Decke
VK Decke / Bruestung,\K Decke / Briistung
LUFTER Leistung angrenzendes Gewerk dargestellt: Sigenia Aubi AEROMAT VT Typ DS Wetterschutz 911 CW mit Lueftungsschlitzen und vorgesetzten Wetterschenkeln,LUFTER Leistung angrenzendes Gewerk dargestellt: Sigenia Aubi AEROMAT VT Typ DS. Wetterschutz 911 CW mit LUftungsschlitzen und vorgesetzten Wetterschenkeln
"L-Stahl nach Statik, z.B. DIN 1029 L150x90x10 durchgehend",L-$tohl hagh ¥%.B. DIN 1029 k159x90x10 lurchgehen
dampfoffene Dichtungsfolie z.B. Schueco VapoFlex LR 5,dampfoffene Dichtungsfalie 2B. Schiico VopoFlex LR 5
358790,358790
358260,358260
358610,358610
beluefteter Zwischenraum,belifteter Zvwischenraum
"Luftzufuhr ueber Fusspunkt Blech-VHF seitens der Bauleitung ist zu pruefen, ob der gegebene Querschnitt ausreicht.","Luftzufuhr Uber FuSpunkt Blech-VHF, seitens der Bauleitung ist zu prifen, ob der gegebene Querschnitt ausreicht."
Bei Ausfuehrung ohne Luefter zugehoeriges Leitdetail: 5 AR DT FAS 47 AF (siehe Plan D102),Bei Ausflihrung ohne Ltifter Zugehdriges Leitdetail: 5 AR DT FAS 47 AF (siehe Plan D102)
