GT Label,Predicted Text
358610,35860
358380,358300 x
Falzgrund Pfostenprofil,Fdagrund Postenprofil
T-Verbinder nach Tabelle / Gewicht,T-Verbinder nach Toballe / Gewicht
358670,353670
"Pfostenklinkung auf Fensterseite nur bis CKF oder badecken, bauseitige Dachbahnen koennen hier nur bis CKF gefuehrt werden","PfosterMinkung aut Fensterseite nur bis OKF oder abdecken, bausetige Dochbatnen Kien hier bis OKF ____hur gaflrt werden"
"Hinweis fuer Bauleitung: Fremdleistung (hier Dachdeckerarbeiten) bitte abstimmen; z.B. Folienverlauf, Nichteinhaltung der Dachdeckerrichtlinien (Folie 5cm ueber OK Belag)","Hinweis far Bauleitung: Fremdleistungen {hier Dachdeckerarbeiten) bitte abstimmen; 2.8. Folienverlauf, Nichteinhaltung der Dachdeckerrichtlinien (Folic Sem iiber OK Belag}"
gestrichelt: Lage Basisregel Festverglasung,gestrichelt: Loge Bosisriegel _Festvergasung
"Behindertengerechte Schwellenausbildung Hinweis: Bei der Erstellung des Fußbodenaufbaus ist darauf zu achten, dass dieser im Bereich des Fluegels sorgfaeltig (Toleranzen) ausgefuehrt wird, da sonst der Fluegel beim oeffnen ueber den Belag kratzen und diesen Beschaedigen kann (3mm Luft)","Behindertengerechte Schwellenausbildung Hinweis: Bei der Erstellung des FuRbodenauftaus ist darauf 7y achten, dass dieser im [Bereich des Fligels (Toleranzen) ausgeftihn wird, da sonst der Fligel beim Uber den Belag krat7en und diesen Beschédigen kann (3mm Luft)"
358870,358670
zugehoeriges Leitdetail 5 AR DT FAS 11 A F,augehdriges Leitdatail DTFAS 11 AF
361480,a
Z01011 Qudratrohr Square hallow section DIN EN 10305-5 20x30x2,201011 Quodratrohr Square hollow section
246246,248245
Bodenrinne bauseits,Bodondana bauscrts:
Belastung Schwelle unbekannt Annahme: nur Personenlast max. 100kg,Belaslung Schwelle unbekannt ‘Annahme: nur Personeniast. max. 1001 “a
Dampfbremse: Folie mit geringer Dampfdurchlaessigkeit z.B. Schueco VapoFlex HR050,"0 poten: jee gefinger Dompfdurchldssighel i 2, Schitco YopoFlen HROGO"
"Daemmung, wasserfest",vassertest
"Stuetzwinkel, o.g.w. fuer Dachabdichtung",ogy. fir Dochabdichtung
Befestigungswinkel fuer Basisrohr aus verz. Stahl durchlfd.,"Befestigungsvinke fir Basisrohr ou verz, Stohl, durchld,"
Dachabdichtung bauseits,Dochabdichtung bauseit
gestrichelt: Lage Bodenblech unter Festverglasung,Loge Bodenblett er Featverg
"Deckenversprung: Differenz zwischen Schalplan 5TWTSG001gF.dwg Schnitt E-E und Schalplan 5TWTSG0102bF.dwg Schnitt F-F. Annahme: Schaplan 5TWTSG0102bF.dwg Schnitt F-F korrekt, da dieser mit dem Grundriss Decke ueber EG i, Schalplan 5TWTSG001gF.dwg uebereinstimmt.","Deckenversprung: Differanz Schnitt E-E ungSchalplan STWTSGO102bE deg Schalplan STWTSGO001 tiheroinstimmt,"
