GT Label,Predicted Text
"Baukoerperoberflaechen muessen fuer die Verklebung der Folien und fuer Versiegelungen geeignet sein (eben, fest, fettfrei). Die Wahl der Materialien ist ggf. mit den angrenzenden Gewerken abzustimmen.","Baukoerpereberflaechen muessen fuer die der Foljeh und fuer Versiegelungen (ebep/ fest, fettfrei). Die‘Wahl der Materialien ist ggf ngrenzenden Gewerken abzustimmen."
Bedienhebel,Bedienhebel
Anker Fischer FAZ 10/20 A4,Fisetfer FAZ 10/20 A4
Dampfbremse: Folie mit geringer Dampfdurchlaessigkeit z.B. Schueco VapoFlex HR050,Dampfbremse; Folie mit zB. geringer Schueco Dampfdurchlaessigkeit HR) VapoFlex
IK Leibungsblech Decke,IK Decke Leibungsblech
Unterfuetterung (Toleranzausgleich),"Unterfuetterung {Toleranzausgleich,"
VK Decke / Bruestung,WK Decke / Bruestung
LUFTER Leistung angrenzendes Gewerk dargestellt: Sigenia Aubi AEROMAT VT Typ DS Wetterschutz 911 CW mit Lueftungsschlitzen und vorgesetzten Wetterschenkeln,LUEFTER Leistung angrenzendes Gewerk dargestellt: Sigenia Aubi AEROMAT VT Typ DS Wetterschutz 911CW mit Lueftungsschlitzen und vorgesetzten Wetterschenkeln
"L-Stahl nach Statik, z.B. DIN 1029 L150x90x10 durchgehend","L-Stahl hadh Statik, %B. DIN 1029 k159x90x10 lurchgehen"
dampfoffene Dichtungsfolie z.B. Schueco VapoFlex LR 5,zB. dampfoffene Schiico Dichtungsfolie LR 5 VopoFlex
358790,358790
358260,358260
358610,358610
beluefteter Zwischenraum,beluefteter Zwischenraum
"Luftzufuhr ueber Fusspunkt Blech-VHF seitens der Bauleitung ist zu pruefen, ob der gegebene Querschnitt ausreicht.","Luftzufuhr ueber Fusspunkt Blech-VHF, seitens der Bauleitung ist zu pruefen, ob der gegebene Querschnitt ausreicht."
Bei Ausfuehrung ohne Luefter zugehoeriges Leitdetail: 5 AR DT FAS 47 AF (siehe Plan D102),Bei Ausfuehrung ohne Luefter Zugehdriges Leitdetail: 5 AR DT FAS 47 AF (siehe Plan D102)
