                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7671,                 4.7901,                 2.9539,                0.00063,                0.02273,                0.00071,                  7e-05,                 3.2263,                 4.5213,                 3.4173,               0.000135,               0.000135,               0.000135
                      2,                 2.7558,                 4.7422,                 3.0847,                0.00063,                0.02273,                0.00071,                  7e-05,                 3.2263,                 4.5213,                 3.4173,             0.00026139,             0.00026139,             0.00026139
                      3,                 2.6726,                 4.7034,                 2.9007,                0.00218,                0.02946,                0.00131,                0.00019,                 3.1029,                 4.5156,                 3.4667,             0.00037392,             0.00037392,             0.00037392
                      4,                 2.7371,                 4.6987,                 2.9604,                0.00218,                0.02946,                0.00131,                0.00019,                 3.1029,                 4.5156,                 3.4667,             0.00042575,             0.00042575,             0.00042575
                      5,                 2.2994,                 4.6318,                 2.9217,                0.01697,                0.13503,                0.01817,                 0.0075,                  1.947,                 4.4411,                 2.9582,               0.000401,               0.000401,               0.000401
                      6,                 2.0629,                 4.6024,                 2.9697,                0.01697,                0.13503,                0.01817,                 0.0075,                  1.947,                 4.4411,                 2.9582,             0.00037625,             0.00037625,             0.00037625
                      7,                 2.0229,                 4.5121,                 2.8065,                0.68553,                0.01986,                0.04382,                0.01457,                 1.9195,                 3.8215,                 2.7831,              0.0003515,              0.0003515,              0.0003515
                      8,                 1.9213,                 4.1224,                 2.5551,                0.68553,                0.01986,                0.04382,                0.01457,                 1.9195,                 3.8215,                 2.7831,             0.00032675,             0.00032675,             0.00032675
                      9,                 1.8478,                 4.0151,                   2.54,                0.24993,                0.04983,                0.10198,                0.04448,                 1.8048,                 3.1873,                 2.6416,               0.000302,               0.000302,               0.000302
                     10,                  1.776,                 3.5747,                 2.4614,                0.24993,                0.04983,                0.10198,                0.04448,                 1.8048,                 3.1873,                 2.6416,             0.00027725,             0.00027725,             0.00027725
                     11,                 1.7843,                 3.6477,                 2.4591,                0.24993,                0.04983,                0.10198,                0.04448,                 1.8048,                 3.1873,                 2.6416,              0.0002525,              0.0002525,              0.0002525
                     12,                 1.6761,                 3.2001,                 2.4192,                 0.3295,                0.11399,                0.13956,                0.07519,                  1.745,                 2.7792,                 2.5911,             0.00022775,             0.00022775,             0.00022775
                     13,                 1.7148,                 3.2713,                  2.358,                 0.3295,                0.11399,                0.13956,                0.07519,                  1.745,                 2.7792,                 2.5911,               0.000203,               0.000203,               0.000203
                     14,                  1.672,                 3.1492,                 2.4561,                0.19888,                0.19017,                0.13142,                0.06597,                 1.7012,                  2.653,                 2.5836,             0.00017825,             0.00017825,             0.00017825
                     15,                 1.7234,                 3.1328,                 2.4451,                0.19888,                0.19017,                0.13142,                0.06597,                 1.7012,                  2.653,                 2.5836,              0.0001535,              0.0001535,              0.0001535
                     16,                 1.6484,                 3.1181,                 2.3979,                0.29014,                0.18903,                0.17167,                0.07598,                 1.6525,                 2.6116,                  2.598,             0.00012875,             0.00012875,             0.00012875
                     17,                 1.6426,                 3.0622,                 2.4609,                0.29014,                0.18903,                0.17167,                0.07598,                 1.6525,                 2.6116,                  2.598,               0.000104,               0.000104,               0.000104
                     18,                  1.616,                 2.9986,                 2.4508,                0.29014,                0.18903,                0.17167,                0.07598,                 1.6525,                 2.6116,                  2.598,              7.925e-05,              7.925e-05,              7.925e-05
                     19,                 1.6136,                 3.0174,                 2.4162,                0.29264,                0.22291,                0.17696,                0.07769,                 1.6252,                 2.5722,                 2.6018,               5.45e-05,               5.45e-05,               5.45e-05
                     20,                 1.5735,                 2.9327,                  2.422,                0.29264,                0.22291,                0.17696,                0.07769,                 1.6252,                 2.5722,                 2.6018,              2.975e-05,              2.975e-05,              2.975e-05
