                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7073,                 4.9352,                 3.3218,                      0,                      0,                      0,                      0,                 3.2861,                 4.6928,                  3.517,                4.5e-05,                4.5e-05,                4.5e-05
                      2,                 2.7627,                 4.8013,                 3.2194,                      0,                      0,                      0,                      0,                 3.2861,                 4.6928,                  3.517,             9.4687e-05,             9.4687e-05,             9.4687e-05
                      3,                 2.7262,                 4.7623,                  3.209,                0.00446,                0.04201,                 0.0069,                0.00126,                  3.187,                 4.6602,                 3.4729,             0.00014404,             0.00014404,             0.00014404
                      4,                 2.6981,                 4.8348,                  3.254,                0.00446,                0.04201,                 0.0069,                0.00126,                  3.187,                 4.6602,                 3.4729,             0.00019307,             0.00019307,             0.00019307
                      5,                 2.6993,                 4.8594,                 3.2832,                0.00446,                0.04201,                 0.0069,                0.00126,                  3.187,                 4.6602,                 3.4729,             0.00024177,             0.00024177,             0.00024177
                      6,                 2.7937,                 4.8166,                 3.0915,                0.00225,                0.00275,                0.00117,                 0.0003,                 3.1706,                 4.5752,                 3.4421,             0.00029013,             0.00029013,             0.00029013
                      7,                 2.6868,                 4.8795,                 3.2982,                0.00225,                0.00275,                0.00117,                 0.0003,                 3.1706,                 4.5752,                 3.4421,             0.00033817,             0.00033817,             0.00033817
                      8,                 2.8382,                 4.7803,                 3.2448,                0.00225,                0.00275,                0.00117,                 0.0003,                 3.1706,                 4.5752,                 3.4421,             0.00038588,             0.00038588,             0.00038588
                      9,                 2.7491,                 4.9023,                 3.2503,                0.00225,                0.00275,                0.00117,                 0.0003,                 3.1706,                 4.5752,                 3.4421,             0.00043325,             0.00043325,             0.00043325
                     10,                 2.7558,                 4.8598,                 3.3003,                0.00225,                0.00275,                0.00117,                 0.0003,                 3.1706,                 4.5752,                 3.4421,              0.0004803,              0.0004803,              0.0004803
                     11,                 2.5004,                 4.8951,                  3.294,                0.00225,                0.00275,                0.00117,                 0.0003,                 3.1706,                 4.5752,                 3.4421,              0.0004835,              0.0004835,              0.0004835
                     12,                 2.7281,                  4.789,                 3.1207,                0.00225,                0.00275,                0.00117,                 0.0003,                 3.1706,                 4.5752,                 3.4421,             0.00048185,             0.00048185,             0.00048185
                     13,                 2.5702,                 4.8764,                 3.4484,                0.00225,                0.01873,                0.00128,                0.00036,                 3.2028,                 4.5175,                 3.3972,              0.0004802,              0.0004802,              0.0004802
                     14,                 2.6231,                 4.8631,                 3.2328,                0.00225,                0.01873,                0.00128,                0.00036,                 3.2028,                 4.5175,                 3.3972,             0.00047855,             0.00047855,             0.00047855
                     15,                 2.6885,                  4.822,                 3.0948,                0.00225,                0.01873,                0.00128,                0.00036,                 3.2028,                 4.5175,                 3.3972,              0.0004769,              0.0004769,              0.0004769
                     16,                 2.7422,                 4.8168,                 3.3534,                0.00225,                0.01873,                0.00128,                0.00036,                 3.2028,                 4.5175,                 3.3972,             0.00047525,             0.00047525,             0.00047525
                     17,                 2.6593,                 4.8602,                 3.1308,                0.00225,                0.01873,                0.00128,                0.00036,                 3.2028,                 4.5175,                 3.3972,              0.0004736,              0.0004736,              0.0004736
                     18,                 2.5453,                 4.8305,                 3.3029,                0.00225,                0.01873,                0.00128,                0.00036,                 3.2028,                 4.5175,                 3.3972,             0.00047195,             0.00047195,             0.00047195
                     19,                 2.5588,                 4.8099,                 3.1509,                0.00691,                0.06754,                0.00523,                0.00188,                 1.8336,                 4.5156,                 2.9214,              0.0004703,              0.0004703,              0.0004703
                     20,                 2.0953,                 4.6063,                 2.8539,                0.00691,                0.06754,                0.00523,                0.00188,                 1.8336,                 4.5156,                 2.9214,             0.00046865,             0.00046865,             0.00046865
                     21,                 2.1646,                  4.555,                 2.9599,                0.00691,                0.06754,                0.00523,                0.00188,                 1.8336,                 4.5156,                 2.9214,               0.000467,               0.000467,               0.000467
                     22,                 1.9986,                   4.52,                 2.8525,                0.00691,                0.06754,                0.00523,                0.00188,                 1.8336,                 4.5156,                 2.9214,             0.00046535,             0.00046535,             0.00046535
                     23,                 2.2976,                  4.577,                 3.0604,                0.00691,                0.06754,                0.00523,                0.00188,                 1.8336,                 4.5156,                 2.9214,              0.0004637,              0.0004637,              0.0004637
                     24,                 2.0586,                 4.5579,                 2.9475,                0.00691,                0.06754,                0.00523,                0.00188,                 1.8336,                 4.5156,                 2.9214,             0.00046205,             0.00046205,             0.00046205
                     25,                 2.0334,                 4.5303,                 2.9437,                0.00691,                0.06754,                0.00523,                0.00188,                 1.8336,                 4.5156,                 2.9214,              0.0004604,              0.0004604,              0.0004604
                     26,                 2.1753,                 4.1785,                 2.8399,                0.09943,                0.05461,                0.01491,                0.00703,                 1.9668,                 3.6207,                 2.6886,             0.00045875,             0.00045875,             0.00045875
